,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
291,0.32,0.07,0.075,0.126,0.129,0.051,0.074,0.055,0.058,0.087,0.083,0.24,0.724,0.483,0.238,0.69,0.444,0.201,0.479,0.246,0.159,0.238,0.657,0.369,0.42,0.672,0.537,0.646,0.052,0.345,0.499,0.554,0.559,0.451,0.444,0.443,0.474,0.462,0.456
292,0.39,0.067,0.067,0.15,0.157,0.061,0.13,0.071,0.074,0.098,0.096,0.191,0.76,0.569,0.309,0.65,0.439,0.208,0.463,0.26,0.162,0.263,0.821,0.408,0.449,0.601,0.536,0.623,0.197,0.405,0.571,0.604,0.61,0.324,0.344,0.362,0.577,0.54,0.538
293,0.383,0.055,0.062,0.153,0.16,0.067,0.148,0.059,0.066,0.09,0.088,0.235,0.789,0.554,0.32,0.615,0.387,0.183,0.406,0.235,0.153,0.256,0.845,0.444,0.451,0.557,0.574,0.651,0.35,0.416,0.53,0.563,0.57,0.259,0.291,0.304,0.487,0.454,0.451
294,0.329,0.045,0.063,0.13,0.14,0.061,0.115,0.055,0.052,0.083,0.079,0.312,0.797,0.487,0.276,0.604,0.341,0.153,0.362,0.214,0.142,0.212,0.756,0.478,0.423,0.608,0.581,0.664,0.249,0.351,0.573,0.596,0.596,0.304,0.342,0.355,0.445,0.426,0.422
295,0.373,0.067,0.067,0.139,0.145,0.056,0.101,0.064,0.067,0.099,0.095,0.186,0.721,0.535,0.264,0.693,0.47,0.218,0.495,0.272,0.173,0.242,0.724,0.345,0.44,0.619,0.496,0.636,0.117,0.349,0.632,0.618,0.618,0.405,0.404,0.417,0.468,0.479,0.474
296,0.371,0.061,0.066,0.151,0.161,0.062,0.124,0.063,0.064,0.101,0.096,0.207,0.76,0.553,0.307,0.65,0.428,0.193,0.425,0.247,0.156,0.242,0.798,0.428,0.454,0.56,0.588,0.632,0.18,0.372,0.527,0.573,0.579,0.327,0.34,0.356,0.572,0.53,0.529
297,0.406,0.063,0.07,0.151,0.161,0.069,0.166,0.065,0.07,0.099,0.093,0.191,0.762,0.572,0.331,0.647,0.411,0.198,0.444,0.241,0.168,0.266,0.829,0.404,0.446,0.581,0.578,0.697,0.358,0.411,0.51,0.545,0.553,0.261,0.293,0.306,0.458,0.448,0.445
298,0.377,0.063,0.073,0.127,0.142,0.064,0.13,0.064,0.059,0.093,0.096,0.232,0.761,0.53,0.284,0.649,0.411,0.186,0.431,0.247,0.155,0.224,0.766,0.375,0.432,0.608,0.602,0.628,0.218,0.345,0.539,0.571,0.573,0.325,0.364,0.384,0.429,0.426,0.421
299,0.411,0.065,0.067,0.157,0.167,0.064,0.147,0.071,0.076,0.102,0.099,0.178,0.75,0.573,0.309,0.661,0.436,0.209,0.473,0.264,0.17,0.266,0.813,0.372,0.442,0.617,0.512,0.644,0.258,0.402,0.593,0.593,0.597,0.295,0.321,0.338,0.448,0.431,0.43
300,0.332,0.051,0.061,0.136,0.143,0.061,0.101,0.06,0.06,0.086,0.086,0.295,0.794,0.499,0.27,0.608,0.363,0.177,0.392,0.23,0.153,0.224,0.77,0.466,0.452,0.554,0.571,0.665,0.159,0.368,0.546,0.589,0.592,0.312,0.349,0.366,0.513,0.488,0.485
301,0.375,0.068,0.071,0.141,0.15,0.062,0.123,0.064,0.069,0.097,0.098,0.208,0.753,0.545,0.293,0.658,0.438,0.203,0.465,0.252,0.172,0.268,0.777,0.388,0.437,0.616,0.556,0.683,0.198,0.407,0.507,0.554,0.559,0.321,0.337,0.351,0.47,0.477,0.473
302,0.4,0.065,0.066,0.131,0.145,0.065,0.158,0.067,0.069,0.091,0.089,0.205,0.758,0.554,0.312,0.652,0.413,0.195,0.445,0.242,0.168,0.254,0.797,0.373,0.438,0.61,0.55,0.694,0.343,0.39,0.508,0.547,0.552,0.264,0.288,0.303,0.44,0.433,0.428
303,0.377,0.07,0.066,0.156,0.156,0.052,0.099,0.055,0.073,0.095,0.096,0.174,0.715,0.541,0.263,0.699,0.468,0.216,0.502,0.278,0.177,0.276,0.726,0.35,0.43,0.667,0.472,0.637,0.136,0.395,0.604,0.631,0.636,0.413,0.415,0.426,0.506,0.495,0.493
304,0.369,0.036,0.054,0.13,0.143,0.048,0.158,0.048,0.058,0.096,0.094,0.309,0.803,0.496,0.288,0.596,0.364,0.166,0.363,0.211,0.132,0.234,0.78,0.379,0.457,0.524,0.517,0.626,0.441,0.393,0.625,0.61,0.611,0.243,0.303,0.314,0.507,0.473,0.47
305,0.393,0.059,0.069,0.142,0.163,0.071,0.152,0.062,0.059,0.095,0.097,0.211,0.772,0.563,0.324,0.636,0.389,0.185,0.414,0.241,0.152,0.24,0.83,0.445,0.447,0.557,0.621,0.631,0.317,0.377,0.516,0.542,0.545,0.267,0.312,0.327,0.401,0.383,0.379
306,0.369,0.047,0.055,0.131,0.145,0.068,0.118,0.071,0.068,0.094,0.095,0.209,0.757,0.548,0.298,0.654,0.396,0.18,0.421,0.251,0.17,0.259,0.786,0.457,0.428,0.611,0.464,0.677,0.171,0.396,0.709,0.676,0.68,0.294,0.343,0.359,0.478,0.472,0.467
307,0.394,0.063,0.062,0.145,0.155,0.053,0.128,0.075,0.078,0.092,0.091,0.186,0.75,0.564,0.298,0.662,0.427,0.211,0.474,0.266,0.17,0.281,0.799,0.4,0.445,0.626,0.473,0.639,0.217,0.424,0.656,0.657,0.658,0.305,0.329,0.348,0.465,0.461,0.458
308,0.338,0.056,0.066,0.146,0.158,0.062,0.104,0.057,0.064,0.084,0.084,0.264,0.781,0.517,0.283,0.624,0.394,0.182,0.416,0.234,0.161,0.275,0.778,0.457,0.438,0.593,0.565,0.688,0.181,0.441,0.523,0.563,0.567,0.303,0.335,0.346,0.552,0.513,0.512
309,0.351,0.074,0.078,0.128,0.136,0.042,0.098,0.058,0.067,0.069,0.067,0.176,0.7,0.523,0.272,0.714,0.468,0.211,0.496,0.254,0.165,0.271,0.687,0.372,0.425,0.63,0.571,0.65,0.272,0.38,0.56,0.586,0.593,0.392,0.404,0.403,0.587,0.591,0.587
310,0.384,0.074,0.075,0.147,0.152,0.063,0.125,0.06,0.065,0.099,0.102,0.214,0.744,0.53,0.272,0.668,0.459,0.204,0.478,0.258,0.172,0.256,0.744,0.32,0.427,0.662,0.552,0.667,0.202,0.383,0.478,0.538,0.545,0.334,0.354,0.371,0.431,0.434,0.429
311,0.346,0.054,0.063,0.146,0.152,0.06,0.121,0.065,0.051,0.092,0.09,0.29,0.792,0.502,0.278,0.611,0.375,0.174,0.388,0.225,0.151,0.233,0.771,0.421,0.448,0.557,0.603,0.671,0.195,0.381,0.541,0.579,0.582,0.283,0.326,0.344,0.503,0.469,0.468
